SIGUNGU_NM,PERVIOUS_AREA_M2,IMPERVIOUS_AREA_M2,TOTAL_AREA_M2,IMPERVIOUS_RATIO
강남구,17323967.528339416,22133810.234351937,39457777.76269135,56.09492345836109
강동구,12032622.062446568,12505245.579476077,24537867.641922645,50.96304928351238
강북구,14761351.818637472,8859236.551001592,23620588.36963906,37.50641775879255
강서구,20101881.89797456,21325374.920932088,41427256.81890665,51.476676368297625
관악구,17111119.003037114,12452101.159661485,29563220.162698597,42.12024634370828
광진구,6476489.068722028,10559442.120689817,17035931.189411845,61.98335743016332
구로구,7652306.340613186,12431054.429262273,20083360.76987546,61.897281892722575
금천구,4429203.367676163,8581546.66615099,13010750.033827154,65.95735560086463
노원구,21982498.497824017,13581492.847999237,35563991.34582326,38.18888806920793
도봉구,11873486.373069368,8815897.451509206,20689383.824578576,42.610729861544236
동대문구,3239099.182360238,11027271.241954567,14266370.424314804,77.29556231878223
동작구,6134092.788097386,10229524.545012923,16363617.33311031,62.51383381053771
마포구,10571491.9879559,13272861.589482632,23844353.577438533,55.6645897167092
서대문구,7746052.565277853,9927995.305682302,17674047.870960154,56.17273065099465
서초구,28750448.99741859,18134882.12139774,46885331.11881633,38.67922373298486
성동구,6200761.598214709,10603731.703453453,16804493.301668163,63.10057383521842
성북구,11475174.634644767,13085047.320212783,24560221.95485755,53.27739848712893
송파구,13706772.185874218,20120052.18908259,33826824.37495681,59.47957740892217
양천구,5598011.8877591835,11852283.23524659,17450295.123005774,67.92024519757841
영등포구,9876363.86035761,14629353.882928904,24505717.743286513,59.69771641125142
용산구,11487668.910237953,10388654.451163823,21876323.361401774,47.48811891075533
은평구,17154136.32220216,12619754.03034102,29773890.352543183,42.38530430828662
종로구,14352139.848873578,9620700.95413287,23972840.803006448,40.13166830410158
중구,2413025.5749877635,7569443.1628381405,9982468.737825904,75.82736657271715
중랑구,7620298.291348627,10902879.045667382,18523177.33701601,58.86073888565265
